CaseID,weight,tm_start,tm_finish,duration,age_category,education_level,gender,income_level,marital_status,region,is_parent,i_develop_strong_emotions_toward_people_i_can_rely_on_num,i_develop_strong_emotions_toward_people_i_can_rely_on,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams_num,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person_num,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person,state
2,0.69,3/10/2012,3/11/2012,1453.0,25-34,High school,Female,"$12,500 to $14,999",Married,Pacific,Yes,3.0,Somewhat disagree,5.0,Somewhat agree,4.0,Neither agree/disagree,WA
3,1.74,3/10/2012,3/10/2012,45.0,35-44,Bachelor's degree or higher,Female,">=$175,000",Married,South Atlantic,Yes,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree,NC
4,2.43,3/10/2012,3/10/2012,26.0,35-44,Some college,Female,"$75,000 to $84,999",Never married,Mountain,No,6.0,Agree,6.0,Agree,4.0,Neither agree/disagree,NV
5,2.72,3/10/2012,3/10/2012,25.0,35-44,Bachelor's degree or higher,Female,"$75,000 to $84,999",Married,East-North Central,Yes,5.0,Somewhat agree,6.0,Agree,7.0,Strongly disagree,WI
6,0.42,3/10/2012,3/10/2012,207.0,45-54,Some college,Female,"$50,000 to $59,999",Married,East-North Central,No,5.0,Somewhat agree,7.0,Strongly agree,6.0,Disagree,MI
7,0.29,3/10/2012,3/11/2012,2316.0,35-44,Bachelor's degree or higher,Male,"$50,000 to $59,999",Never married,West-South Central,No,6.0,Agree,5.0,Somewhat agree,1.0,Strongly agree,TX
8,0.76,3/10/2012,3/10/2012,20.0,55-64,High school,Male,"$40,000 to $49,999",Married,Mid-Atlantic,No,5.0,Somewhat agree,5.0,Somewhat agree,3.0,Somewhat agree,PA
9,1.0,3/10/2012,3/10/2012,350.0,25-34,Bachelor's degree or higher,Female,"$10,000 to $12,499",Never married,Pacific,No,6.0,Agree,6.0,Agree,3.0,Somewhat agree,CA
10,0.46,3/10/2012,3/10/2012,73.0,65-74,High school,Male,"$100,000 to $124,999",Married,West-South Central,No,5.0,Somewhat agree,5.0,Somewhat agree,6.0,Disagree,TX
11,0.68,3/10/2012,3/10/2012,170.0,55-64,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,East-North Central,No,4.0,Neither agree nor disagree,6.0,Agree,2.0,Agree,MI
12,0.95,3/10/2012,3/10/2012,44.0,35-44,Some college,Male,"$10,000 to $12,499",Living with partner,Mid-Atlantic,Yes,7.0,Strongly agree,7.0,Strongly agree,1.0,Strongly agree,NY
13,0.84,3/10/2012,3/10/2012,15.0,18-24,High school,Male,"$35,000 to $39,999",Never married,East-North Central,No,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree/disagree,MI
14,0.18,3/10/2012,3/10/2012,18.0,65-74,Bachelor's degree or higher,Female,">=$175,000",Living with partner,South Atlantic,No,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree,VA
15,1.85,3/10/2012,3/10/2012,63.0,25-34,Some college,Female,"$75,000 to $84,999",Married,South Atlantic,Yes,4.0,Neither agree nor disagree,7.0,Strongly agree,3.0,Somewhat agree,GA
16,0.53,3/10/2012,3/10/2012,1129.0,45-54,Some college,Female,"$125,000 to $149,999",Married,South Atlantic,No,6.0,Agree,3.0,Somewhat disagree,7.0,Strongly disagree,GA
19,0.62,3/10/2012,3/10/2012,18.0,55-64,Bachelor's degree or higher,Female,">=$175,000",Married,Mid-Atlantic,No,7.0,Strongly agree,7.0,Strongly agree,4.0,Neither agree/disagree,PA
20,0.95,3/10/2012,3/10/2012,33.0,55-64,Some college,Female,"$125,000 to $149,999",Married,New England,No,7.0,Strongly agree,6.0,Agree,1.0,Strongly agree,CT
22,0.28,3/10/2012,3/10/2012,38.0,55-64,Bachelor's degree or higher,Female,"$60,000 to $74,999",Never married,East-North Central,No,6.0,Agree,5.0,Somewhat agree,6.0,Disagree,IL
23,0.61,3/10/2012,3/10/2012,87.0,75+,Some college,Male,"$40,000 to $49,999",Widowed,South Atlantic,No,5.0,Somewhat agree,-1.0,Refused,2.0,Agree,FL
24,0.45,3/10/2012,3/10/2012,32.0,45-54,Some college,Male,"$100,000 to $124,999",Married,South Atlantic,No,6.0,Agree,6.0,Agree,2.0,Agree,VA
26,1.92,3/10/2012,3/10/2012,59.0,35-44,High school,Male,"<$5,000",Never married,South Atlantic,No,6.0,Agree,5.0,Somewhat agree,-1.0,Refused,FL
27,0.44,3/10/2012,3/13/2012,4312.0,65-74,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,Mountain,No,5.0,Somewhat agree,7.0,Strongly agree,3.0,Somewhat agree,AZ
28,0.44,3/10/2012,3/10/2012,32.0,65-74,Bachelor's degree or higher,Male,"$125,000 to $149,999",Widowed,South Atlantic,No,6.0,Agree,6.0,Agree,7.0,Strongly disagree,NC
29,1.38,3/10/2012,3/10/2012,43.0,55-64,High school,Female,"$30,000 to $34,999",Divorced,East-South Central,No,4.0,Neither agree nor disagree,5.0,Somewhat agree,4.0,Neither agree/disagree,KY
30,0.62,3/10/2012,3/10/2012,50.0,75+,High school,Male,"$50,000 to $59,999",Married,Mid-Atlantic,No,7.0,Strongly agree,2.0,Disagree,2.0,Agree,PA
31,0.28,3/10/2012,3/10/2012,62.0,55-64,Some college,Female,"$30,000 to $34,999",Married,Pacific,No,7.0,Strongly agree,6.0,Agree,5.0,Somewhat disagree,CA
32,1.39,3/10/2012,3/10/2012,11.0,25-34,Bachelor's degree or higher,Male,"$35,000 to $39,999",Living with partner,Pacific,No,4.0,Neither agree nor disagree,5.0,Somewhat agree,4.0,Neither agree/disagree,OR
34,1.1,3/10/2012,3/10/2012,44.0,35-44,Some college,Male,"$50,000 to $59,999",Never married,South Atlantic,No,4.0,Neither agree nor disagree,7.0,Strongly agree,4.0,Neither agree/disagree,SC
35,0.4,3/10/2012,3/10/2012,33.0,55-64,Some college,Female,"$50,000 to $59,999",Married,East-North Central,No,6.0,Agree,6.0,Agree,2.0,Agree,OH
36,0.43,3/10/2012,3/10/2012,38.0,55-64,Some college,Female,"$35,000 to $39,999",Married,Mountain,No,4.0,Neither agree nor disagree,5.0,Somewhat agree,5.0,Somewhat disagree,NV
37,0.14,3/10/2012,3/10/2012,50.0,55-64,High school,Female,"$40,000 to $49,999",Married,Pacific,No,4.0,Neither agree nor disagree,6.0,Agree,7.0,Strongly disagree,CA
38,0.14,3/10/2012,3/10/2012,48.0,18-24,Bachelor's degree or higher,Female,"$25,000 to $29,999",Married,New England,No,5.0,Somewhat agree,5.0,Somewhat agree,2.0,Agree,ME
39,0.72,3/10/2012,3/10/2012,239.0,55-64,Bachelor's degree or higher,Male,"$25,000 to $29,999",Divorced,South Atlantic,No,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree/disagree,FL
40,1.57,3/10/2012,3/10/2012,43.0,45-54,Some college,Female,"$20,000 to $24,999",Divorced,East-North Central,No,5.0,Somewhat agree,4.0,Neither agree nor disagree,2.0,Agree,MI
41,0.63,3/10/2012,3/10/2012,35.0,35-44,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,Mid-Atlantic,No,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree,NY
42,0.38,3/10/2012,3/10/2012,42.0,65-74,High school,Female,"$50,000 to $59,999",Married,Mountain,No,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree,AZ
43,0.51,3/10/2012,3/10/2012,11.0,45-54,High school,Male,"$75,000 to $84,999",Married,Mid-Atlantic,Yes,6.0,Agree,6.0,Agree,4.0,Neither agree/disagree,NJ
44,0.54,3/10/2012,3/10/2012,53.0,65-74,Bachelor's degree or higher,Female,"$75,000 to $84,999",Divorced,South Atlantic,No,4.0,Neither agree nor disagree,7.0,Strongly agree,2.0,Agree,MD
45,0.9,3/10/2012,3/10/2012,21.0,35-44,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,South Atlantic,Yes,7.0,Strongly agree,6.0,Agree,7.0,Strongly disagree,NC
46,0.62,3/10/2012,3/10/2012,36.0,35-44,High school,Female,"$50,000 to $59,999",Married,South Atlantic,Yes,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree,VA
47,0.38,3/10/2012,3/11/2012,627.0,45-54,High school,Female,"$100,000 to $124,999",Married,East-North Central,Yes,7.0,Strongly agree,4.0,Neither agree nor disagree,4.0,Neither agree/disagree,IN
48,0.78,3/10/2012,3/10/2012,15.0,55-64,High school,Male,"$10,000 to $12,499",Married,South Atlantic,No,3.0,Somewhat disagree,6.0,Agree,4.0,Neither agree/disagree,FL
49,0.76,3/10/2012,3/10/2012,35.0,45-54,Some college,Male,"$15,000 to $19,999",Married,East-North Central,Yes,7.0,Strongly agree,7.0,Strongly agree,3.0,Somewhat agree,MI
